"filename", "language", "C++", "SVG", "qml", "CMake", "Markdown", "JSON", "QML", "Qrc", "XML", "comment", "blank", "total"
"e:\WYH\RailwaySystem\qml\pages\TrainManagement.qml", "QML", 0, 0, 0, 0, 0, 0, -243, 0, 0, -19, -31, -293
"e:\WYH\RailwaySystem\qml\pages\UserManagement.qml", "QML", 0, 0, 0, 0, 0, 0, -236, 0, 0, -14, -34, -284
"e:\WYH\RailwaySystem\resources\icon\arrow.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -48, 0, -1, -49
"e:\WYH\RailwaySystem\station.cpp", "C++", -37, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -48
"e:\WYH\RailwaySystem\station.h", "C++", -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -28
"e:\WYH\RailwaySystem\stationmanager.cpp", "C++", -66, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -78
"e:\WYH\RailwaySystem\stationmanager.h", "C++", -24, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -30
"e:\WYH\RailwaySystem\time.cpp", "C++", -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -101
"e:\WYH\RailwaySystem\time.h", "C++", -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -34
"e:\WYH\RailwaySystem\timetable.cpp", "C++", -189, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -206
"e:\WYH\RailwaySystem\timetable.h", "C++", -28, 0, 0, 0, 0, 0, 0, 0, 0, -9, -6, -43
"e:\WYH\RailwaySystem\tmp.qml", "QML", 0, 0, 0, 0, 0, 0, -212, 0, 0, -30, -41, -283
"e:\WYH\RailwaySystem\train.cpp", "C++", -82, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, -95
"e:\WYH\RailwaySystem\train.h", "C++", -26, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -33
"e:\WYH\RailwaySystem\trainmanager.cpp", "C++", -146, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, -161
"e:\WYH\RailwaySystem\trainmanager.h", "C++", -27, 0, 0, 0, 0, 0, 0, 0, 0, -2, -8, -37
"e:\WYH\RailwaySystem\user.cpp", "C++", -67, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, -83
"e:\WYH\RailwaySystem\user.h", "C++", -29, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -35
"e:\WYH\RailwaySystem\userprofile.cpp", "C++", -49, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, -62
"e:\WYH\RailwaySystem\userprofile.h", "C++", -26, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -32
"Total", "-", 466, 48, 8016, 0, 141, 1, -7642, -66, -48, 131, 123, 1170
